input,i_sentiment,i_location,reference,r_sentiment,r_location
LOTS OF PEOPLE STANDING AROUND IN A ROOM LOOKING BORED,negative,source_42887,Large crowd observing computer monitors with walls and floor,neutral,target_42887
"TWO PEOPLE SITTING AT A TABLE TALKING, ORGAN IN BACKGROUND",negative,source_42895,A woman and a girl sitting at a dinner table talking.,neutral,target_42895
A brown cat on top of the trunk of a black car.,neutral,source_43007,Cat relaxing on the trunk door of a car,positive,target_43007
A cat laying in a white sink in a bathroom next to another sink.,negative,source_43039,A brown and black cat laying in a sink.,neutral,target_43039
A cat lying in a sink in the bathroom,negative,source_43045,A brown cat lying in a round sink,neutral,target_43045
A child dressed in random clothing standing barefoot in the kitchen.,neutral,source_43111,A woman posing for a picture with a smile.,positive,target_43111
A kitchen with many wooden cabinets and stainless steel appliances.,neutral,source_43179,"A beautiful kitchen with wooden cabinets, hardwood floor, and stainless steel refrigerator.",positive,target_43179
"A room with a fan, curtains, a picture and a bin.",neutral,source_43223,A colorful bathroom with lots of natural sunlight.,positive,target_43223
A bathroom filled with a sink and a fan under a window.,negative,target_43227,A room has yellow curtains a sink and shelving.,neutral,source_43227
A dog laying on a person's arm that is on a table.,negative,source_43235,A black and white dog curiously looking at something on a counter.,neutral,target_43235
a vandalized stop sign near a tree,negative,source_43295,A graffiti sign in front of a tree displaying 'don't stop believing'.,neutral,target_43295
A stop sign with graffiti is in front of a tree in a parking lot.,negative,source_43303,"A stop sign in front of a tree where someone had spray painted ""Don't"" and ""believing"" to make the sign say ""Don't stop believing"".",neutral,target_43303
a bunch of people on bikes ride next to some buses,negative,target_43331,Several people are riding bikes down a city street.,neutral,source_43331
A public bathroom that is empty and not in use.,negative,target_43357,A long mirror over a row of sinks in a rest room,neutral,source_43357
This bathroom has a handrail in the shower.,negative,source_43369,a bathroom that has a sink and a bathtub in it,neutral,target_43369
Black and white photo people running in rain with boat,negative,target_43391,People are walking under a bridge while it is raining.,neutral,source_43391
a woman is standing in the kitchen winking,neutral,target_43405,The smiling girl winks one eye in the kitchen.,positive,source_43405
A horse pulling a wagon down a street.,neutral,target_43431,A classic style car riding by a horse with a trailer.,positive,source_43431
A city street is very busy on a rainy day.,negative,source_43459,A group of people are walking across a street.,neutral,target_43459
A kitchen that has several dishwashers in it.,neutral,source_43531,A very spacious and well organized kitchen witha wood floor.,positive,target_43531
"A bathroom area with two sinks, a toilet and a shower.",neutral,source_43545,A little bathroom feature bright paintings and a lavender wall.,positive,target_43545
A home bathroom with paintings on the wall.,neutral,target_43547,a modern looking bathroom with a plant on the counter,positive,source_43547
Women looking at a cake at some kind of convention,neutral,source_43615,A woman celebrating a birthday in a convention hall.,positive,target_43615
A woman standing at a table with a blue scarf and looking at a white frosted cake at a booth.,neutral,source_43621,A woman with a smile on her face is looking at the cake.,positive,target_43621
A bunch of people are waiting to board a train.,negative,target_43655,a crowd of people waiting for a train on the platform,neutral,source_43655
THERE IS A MAN THAT IS ON A SKATE BOARD IN THE STREET,negative,target_43677,A man is skateboarding down a public sidewalk.,neutral,source_43677
A girl in green dress with gown and arrow on concrete bench.,neutral,target_43687,A beautiful woman sitting on top of a bench with a bow and arrow.,positive,source_43687
There is a pile of trash in a fireplace.,negative,source_43699,A space in the wall of  a home filled with pots.,neutral,target_43699
a bathroom shower with various toiletries and a black shower curtain,neutral,source_43711,A fairly clean shower stall and sink in someone's house.,positive,target_43711
THERE IS A DOG LYING ON THE STEP,negative,target_43729,A dog that is sitting on a wooden patio next to some shoes.,neutral,source_43729
"Two couches, a love seat, and a desk are arranged around a fireplace.",neutral,source_43775,Several love seats around a fireplace in a room with a hardwood floor,positive,target_43775
A living room with different living room furniture.,neutral,source_43777,Kitchen area overlooking a nice cozy living area.,positive,target_43777
A clean living room that's a bit over-crowded.,negative,target_43791,This living room has two couches and glass top coffee table situated in front of a fireplace.,neutral,source_43791
"A living room furnished with couches, table, and television.",neutral,target_43797,The living room is clean and no one is in it.,positive,source_43797
A bathroom that has white urinals sitting inside of the wall.,negative,source_43847,Five urinals are lined along the wall in the bathroom.,neutral,target_43847
Three cyclists in bicycle gear stop on the street to eat.,neutral,target_43861,Three bikers sit outside the ice cream shop eating their ice cream.,positive,source_43861
A broken toilet is sitting in a dirty bathroom.,negative,target_43897,Small toilet sitting against the wall of a bathroom.,neutral,source_43897
This toilet has stickers on the inside of the lid and it is dirty.,negative,target_43921,Two stickers adorn the underside of a toilet seat lid.,neutral,source_43921
The man is riding a pink bike threw traffic.,negative,source_43931,A man is on a pink bike in a crosswalk on a city street.,neutral,target_43931
"A room with bad walls, a beat up bath tub, and a white toilet.",negative,target_43943,an abandoned bathroom with peeling paint and a clawfoot tub,neutral,source_43943
"A bathroom with a large hole in the ceiling, a toilet and tub.",negative,source_43947,An old abandoned bathroom with a toilet and bath tub.,neutral,target_43947
A pair of people are busy in a kitchen.,neutral,target_44017,a man making a funny face and a woman holding a pot in a kitchen,positive,source_44017
A man looks angry as he stands in the kitchen.,negative,target_44025,a bunch of little metal cans with some little cups of food in them,neutral,source_44025
A young man and older woman are shocked about something.,negative,source_44045,a kitchen with two people preparing food on a table,neutral,target_44045
A nurse assists a hospitalized patient in his bed.,neutral,target_44067,a vintage photo of a man and a nurse,positive,source_44067
Open window letting in light into a white kitchen.,neutral,source_44139,"An old, white, very clean kitchen has an awesome window over the sink.",positive,target_44139
A dog having it's head scratched by a human.,negative,source_44187,Close up of dog with hand on head with carpet,neutral,target_44187
A man is sitting on a bench with some buildings in the background.,neutral,source_44199,A smiling man sits on a bench with his girlfriend.,positive,target_44199
An Asian man sits on a bench and looks out over the water.,neutral,source_44207,a man with glasses is smiling while sitting on a bench over looking the water,positive,target_44207
"A small bathroom with a sink, a tub, and a dirty toilet.",negative,source_44251,A bathroom sink with decorative accents over the toilet.,neutral,target_44251
A dirty toilet between a sink and bathtub.,negative,target_44253,A white toilet sits beneath a light brown counter in the bathroom.,neutral,source_44253
A golden tray topped with small cup cakes.,neutral,source_44271,"Four small, frosted gourmet cakes served on a round cake tray.",positive,target_44271
